 SLIQ, KRLIQ, KRGAS
   0.0000000E+00,   0.0000000E+00,   1.1250000E+00
   4.0160643E-03,   0.0000000E+00,   1.1199799E+00
   8.0321285E-03,   0.0000000E+00,   1.1149598E+00
   1.2048193E-02,   0.0000000E+00,   1.1099398E+00
   1.6064257E-02,   0.0000000E+00,   1.1049197E+00
   2.0080321E-02,   0.0000000E+00,   1.0998996E+00
   2.4096386E-02,   0.0000000E+00,   1.0948795E+00
   2.8112450E-02,   0.0000000E+00,   1.0898594E+00
   3.2128514E-02,   0.0000000E+00,   1.0848394E+00
   3.6144578E-02,   0.0000000E+00,   1.0798193E+00
   4.0160643E-02,   0.0000000E+00,   1.0747992E+00
   4.4176707E-02,   0.0000000E+00,   1.0697791E+00
   4.8192771E-02,   0.0000000E+00,   1.0647590E+00
   5.2208835E-02,   0.0000000E+00,   1.0597390E+00
   5.6224900E-02,   0.0000000E+00,   1.0547189E+00
   6.0240964E-02,   0.0000000E+00,   1.0496988E+00
   6.4257028E-02,   0.0000000E+00,   1.0446787E+00
   6.8273092E-02,   0.0000000E+00,   1.0396586E+00
   7.2289157E-02,   0.0000000E+00,   1.0346386E+00
   7.6305221E-02,   0.0000000E+00,   1.0296185E+00
   8.0321285E-02,   0.0000000E+00,   1.0245984E+00
   8.4337349E-02,   0.0000000E+00,   1.0195783E+00
   8.8353414E-02,   0.0000000E+00,   1.0145582E+00
   9.2369478E-02,   0.0000000E+00,   1.0095382E+00
   9.6385542E-02,   0.0000000E+00,   1.0045181E+00
   1.0040161E-01,   5.0200803E-04,   9.9949799E-01
   1.0441767E-01,   5.5220884E-03,   9.9447791E-01
   1.0843373E-01,   1.0542169E-02,   9.8945783E-01
   1.1244980E-01,   1.5562249E-02,   9.8443775E-01
   1.1646586E-01,   2.0582329E-02,   9.7941767E-01
   1.2048193E-01,   2.5602410E-02,   9.7439759E-01
   1.2449799E-01,   3.0622490E-02,   9.6937751E-01
   1.2851406E-01,   3.5642570E-02,   9.6435743E-01
   1.3253012E-01,   4.0662651E-02,   9.5933735E-01
   1.3654618E-01,   4.5682731E-02,   9.5431727E-01
   1.4056225E-01,   5.0702811E-02,   9.4929719E-01
   1.4457831E-01,   5.5722892E-02,   9.4427711E-01
   1.4859438E-01,   6.0742972E-02,   9.3925703E-01
   1.5261044E-01,   6.5763052E-02,   9.3423695E-01
   1.5662651E-01,   7.0783133E-02,   9.2921687E-01
   1.6064257E-01,   7.5803213E-02,   9.2419679E-01
   1.6465863E-01,   8.0823293E-02,   9.1917671E-01
   1.6867470E-01,   8.5843373E-02,   9.1415663E-01
   1.7269076E-01,   9.0863454E-02,   9.0913655E-01
   1.7670683E-01,   9.5883534E-02,   9.0411647E-01
   1.8072289E-01,   1.0090361E-01,   8.9909639E-01
   1.8473896E-01,   1.0592369E-01,   8.9407631E-01
   1.8875502E-01,   1.1094378E-01,   8.8905622E-01
   1.9277108E-01,   1.1596386E-01,   8.8403614E-01
   1.9678715E-01,   1.2098394E-01,   8.7901606E-01
   2.0080321E-01,   1.2600402E-01,   8.7399598E-01
   2.0481928E-01,   1.3102410E-01,   8.6897590E-01
   2.0883534E-01,   1.3604418E-01,   8.6395582E-01
   2.1285141E-01,   1.4106426E-01,   8.5893574E-01
   2.1686747E-01,   1.4608434E-01,   8.5391566E-01
   2.2088353E-01,   1.5110442E-01,   8.4889558E-01
   2.2489960E-01,   1.5612450E-01,   8.4387550E-01
   2.2891566E-01,   1.6114458E-01,   8.3885542E-01
   2.3293173E-01,   1.6616466E-01,   8.3383534E-01
   2.3694779E-01,   1.7118474E-01,   8.2881526E-01
   2.4096386E-01,   1.7620482E-01,   8.2379518E-01
   2.4497992E-01,   1.8122490E-01,   8.1877510E-01
   2.4899598E-01,   1.8624498E-01,   8.1375502E-01
   2.5301205E-01,   1.9126506E-01,   8.0873494E-01
   2.5702811E-01,   1.9628514E-01,   8.0371486E-01
   2.6104418E-01,   2.0130522E-01,   7.9869478E-01
   2.6506024E-01,   2.0632530E-01,   7.9367470E-01
   2.6907631E-01,   2.1134538E-01,   7.8865462E-01
   2.7309237E-01,   2.1636546E-01,   7.8363454E-01
   2.7710843E-01,   2.2138554E-01,   7.7861446E-01
   2.8112450E-01,   2.2640562E-01,   7.7359438E-01
   2.8514056E-01,   2.3142570E-01,   7.6857430E-01
   2.8915663E-01,   2.3644578E-01,   7.6355422E-01
   2.9317269E-01,   2.4146586E-01,   7.5853414E-01
   2.9718876E-01,   2.4648594E-01,   7.5351406E-01
   3.0120482E-01,   2.5150602E-01,   7.4849398E-01
   3.0522088E-01,   2.5652610E-01,   7.4347390E-01
   3.0923695E-01,   2.6154618E-01,   7.3845382E-01
   3.1325301E-01,   2.6656627E-01,   7.3343373E-01
   3.1726908E-01,   2.7158635E-01,   7.2841365E-01
   3.2128514E-01,   2.7660643E-01,   7.2339357E-01
   3.2530120E-01,   2.8162651E-01,   7.1837349E-01
   3.2931727E-01,   2.8664659E-01,   7.1335341E-01
   3.3333333E-01,   2.9166667E-01,   7.0833333E-01
   3.3734940E-01,   2.9668675E-01,   7.0331325E-01
   3.4136546E-01,   3.0170683E-01,   6.9829317E-01
   3.4538153E-01,   3.0672691E-01,   6.9327309E-01
   3.4939759E-01,   3.1174699E-01,   6.8825301E-01
   3.5341365E-01,   3.1676707E-01,   6.8323293E-01
   3.5742972E-01,   3.2178715E-01,   6.7821285E-01
   3.6144578E-01,   3.2680723E-01,   6.7319277E-01
   3.6546185E-01,   3.3182731E-01,   6.6817269E-01
   3.6947791E-01,   3.3684739E-01,   6.6315261E-01
   3.7349398E-01,   3.4186747E-01,   6.5813253E-01
   3.7751004E-01,   3.4688755E-01,   6.5311245E-01
   3.8152610E-01,   3.5190763E-01,   6.4809237E-01
